district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Dharmapuri,Nallampalli,Rural,9.0251,76.6986,Theft,2,Tuesday,Night,573,13.6,75.82,0.192,6,11,5.33,0,36-45,0.949,2.07,0.758,49.02,0.615,0.876,0
Vellore,Arcot,Rural,8.8525,80.4352,Burglary,10,Wednesday,Evening,662,12.91,79.92,0.571,6,5,2.41,1,36-45,1.05,0.82,0.799,60.18,0.433,0.662,0
Namakkal,Kumarapalayam,Rural,9.3997,79.4619,Traffic Violation,8,Tuesday,Morning,503,5.25,72.39,0.231,4,3,1.95,0,36-45,1.065,2.67,0.724,54.16,0.272,0.497,0
Ramanathapuram,Kamuthi,Rural,11.9992,78.1422,Property Crime,1,Friday,Evening,221,5.05,73.35,0.464,4,2,5.44,0,36-45,1.067,2.72,0.733,35.64,0.273,0.677,0
Madurai,Madurai South,Urban,12.1826,76.0663,Cybercrime,4,Monday,Night,1028,4.87,87.12,0.748,8,28,7.99,1,60+,1.017,3.27,0.871,84.76,0.775,0.321,0
Dindigul,Nilakottai,Rural,13.3741,78.7667,Burglary,2,Friday,Evening,249,5.71,83.28,0.169,4,7,6.87,0,26-35,1.051,4.1,0.833,57.31,0.76,0.454,1
Kanchipuram,Chengalpattu,Semi-Urban,8.1836,76.1604,Fraud,2,Tuesday,Evening,215,11.9,73.22,0.773,3,11,4.63,0,46-60,1.021,4.95,0.732,51.8,0.446,0.482,0
Coimbatore,Sulur,Semi-Urban,11.1489,78.6646,Traffic Violation,10,Tuesday,Morning,1163,7.15,89.89,0.502,21,40,2.18,1,60+,0.937,4.01,0.899,89.42,0.482,0.442,0
Sivaganga,Ilayangudi,Urban,13.2445,79.0349,Cybercrime,3,Friday,Night,226,8.61,75.67,0.394,5,7,4.19,0,36-45,1.075,1.76,0.757,57.87,0.687,0.574,0
Coimbatore,Coimbatore North,Urban,11.6756,77.3883,Theft,2,Tuesday,Morning,1282,7.79,93.34,0.396,20,28,5.75,0,18-25,1.083,3.63,0.933,71.16,0.649,0.839,1
Erode,Anthiyur,Rural,10.2884,79.2207,Property Crime,12,Wednesday,Evening,765,7.09,80.99,0.147,4,3,6.46,1,46-60,1.096,4.66,0.81,48.03,0.829,0.364,1
Kanchipuram,Chengalpattu,Rural,9.07,77.7543,Domestic Violence,11,Friday,Afternoon,734,9.82,66.67,0.627,6,10,5.91,1,46-60,0.921,3.11,0.667,42.33,0.82,0.758,0
Thoothukudi,Ottapidaram,Rural,11.5666,77.0581,Domestic Violence,7,Wednesday,Afternoon,323,9.13,76.59,0.706,6,9,7.16,0,46-60,1.08,0.93,0.766,54.24,0.795,0.715,1
Coimbatore,Sulur,Urban,10.736,78.3878,Fraud,11,Monday,Evening,1698,7.9,88.19,0.394,14,22,3.53,1,60+,0.946,1.85,0.882,86.9,0.398,0.949,0
Salem,Omalur,Semi-Urban,12.0868,80.2436,Traffic Violation,11,Wednesday,Afternoon,745,5.4,71.73,0.462,5,3,7.66,1,46-60,1.002,4.01,0.717,55.42,0.796,0.946,0
Tiruchirappalli,Lalgudi,Rural,8.1003,78.873,Traffic Violation,3,Thursday,Morning,712,5.43,77.93,0.722,4,10,2.29,0,18-25,1.061,4.94,0.779,39.06,0.446,0.366,0
Sivaganga,Sivaganga,Rural,9.7892,78.8354,Theft,10,Thursday,Evening,349,9.66,75.49,0.588,5,5,3.4,1,26-35,1.1,0.67,0.755,51.34,0.249,0.521,0
Cuddalore,Cuddalore,Rural,9.3008,80.0203,Theft,12,Thursday,Evening,286,11.15,65.52,0.782,3,12,4.19,1,46-60,0.949,4.61,0.655,33.02,0.431,0.817,0
Madurai,Thirumangalam,Urban,9.2012,79.5561,Traffic Violation,8,Thursday,Afternoon,1253,4.02,87.53,0.127,22,37,1.55,0,26-35,0.974,3.19,0.875,80.15,0.552,0.949,0
Thoothukudi,Ottapidaram,Rural,10.0128,77.1342,Traffic Violation,10,Thursday,Afternoon,699,5.97,76.74,0.713,6,10,6.11,1,36-45,1.052,4.22,0.767,39.76,0.527,0.867,1
Krishnagiri,Krishnagiri,Rural,9.362,80.3404,Vandalism,1,Sunday,Evening,322,6.65,67.53,0.548,2,12,3.07,0,18-25,1.01,4.34,0.675,49.74,0.216,0.763,0
Madurai,Melur,Urban,10.5624,76.5244,Burglary,9,Wednesday,Night,1377,3.92,86.74,0.346,13,31,2.73,0,60+,1.032,1.12,0.867,70.04,0.711,0.359,0
Dindigul,Nilakottai,Rural,11.4275,77.0658,Theft,12,Tuesday,Night,740,6.13,76.21,0.226,7,8,2.27,1,26-35,0.945,2.82,0.762,50.41,0.866,0.524,1
Sivaganga,Devakottai,Rural,11.5717,77.0474,Fraud,7,Saturday,Evening,461,11.69,78.66,0.577,6,2,2.49,0,60+,0.933,4.07,0.787,45.5,0.655,0.364,1
Krishnagiri,Bargur,Rural,10.0755,79.6197,Theft,5,Monday,Evening,533,11.68,74.22,0.642,7,2,7.85,0,18-25,1.068,3.87,0.742,30.02,0.453,0.659,0
Chennai,Chennai Central,Urban,9.672,80.1609,Cybercrime,10,Monday,Evening,845,4.86,91.94,0.536,16,24,0.58,1,26-35,0.999,2.06,0.919,71.06,0.358,0.523,0
Karur,Kulithalai,Semi-Urban,9.1294,78.0763,Burglary,1,Monday,Morning,386,6.1,83.61,0.329,4,12,2.64,0,46-60,0.935,1.26,0.836,66.53,0.773,0.671,0
Ramanathapuram,Kadaladi,Urban,9.9431,80.4274,Property Crime,11,Wednesday,Night,298,12.03,81.08,0.126,6,13,2.23,1,26-35,0.965,4.65,0.811,45.77,0.782,0.665,1
Sivaganga,Devakottai,Semi-Urban,12.4859,77.1673,Traffic Violation,2,Monday,Night,440,14.36,69.92,0.66,7,5,3.49,0,36-45,0.919,4.71,0.699,37.53,0.796,0.615,1
Dindigul,Dindigul,Rural,9.7168,76.0518,Fraud,9,Saturday,Evening,367,11.75,73.81,0.409,6,15,0.69,0,18-25,0.924,3.03,0.738,48.99,0.387,0.809,0
Chennai,Chennai Central,Urban,10.1402,80.2017,Vandalism,2,Tuesday,Morning,1351,6.39,94.53,0.158,11,29,2.21,0,36-45,0.985,2.56,0.945,74.23,0.376,0.34,0
Virudhunagar,Virudhunagar,Urban,8.7959,77.3101,Theft,3,Friday,Evening,319,11.16,67.22,0.565,6,5,4.35,0,60+,1.051,2.6,0.672,32.47,0.749,0.791,0
Namakkal,Tiruchengode,Semi-Urban,11.0461,78.9729,Assault,5,Tuesday,Night,280,10.75,66.89,0.436,4,13,4.31,0,26-35,0.982,2.53,0.669,55.28,0.476,0.596,1
Sivaganga,Karaikudi,Rural,13.4903,77.7854,Domestic Violence,1,Thursday,Afternoon,612,9.89,82.88,0.512,4,6,2.82,0,46-60,0.958,4.3,0.829,33.65,0.835,0.498,0
Dharmapuri,Nallampalli,Rural,10.5152,78.467,Fraud,9,Thursday,Morning,700,12.28,76.85,0.288,8,3,7.34,0,60+,1.059,4.29,0.769,34.67,0.756,0.829,1
Coimbatore,Pollachi,Semi-Urban,13.2815,77.8874,Domestic Violence,5,Friday,Night,1001,5.03,89.08,0.544,12,22,5.36,0,18-25,1.06,1.27,0.891,80.84,0.528,0.628,1
Namakkal,Namakkal,Rural,9.8178,79.4351,Drug Offense,10,Sunday,Afternoon,589,6.72,66.33,0.59,5,13,5.72,1,46-60,0.999,4.4,0.663,66.23,0.492,0.475,0
Sivaganga,Sivaganga,Rural,12.8311,78.9018,Fraud,1,Wednesday,Morning,466,8.83,83.39,0.189,2,11,0.7,0,18-25,1.076,2.21,0.834,51.75,0.683,0.803,0
Dindigul,Palani,Rural,8.246,80.1894,Vandalism,5,Wednesday,Morning,509,8.84,67.49,0.384,8,14,3.69,0,36-45,1.015,1.79,0.675,66.88,0.473,0.337,0
Vellore,Arcot,Rural,13.2259,79.7046,Fraud,2,Thursday,Night,358,9.71,74.23,0.152,8,12,1.49,0,46-60,1.021,2.32,0.742,33.73,0.893,0.653,1
Sivaganga,Ilayangudi,Semi-Urban,10.9622,79.5918,Property Crime,8,Thursday,Evening,636,8.01,77.12,0.62,6,7,1.04,0,46-60,1.012,3.83,0.771,40.63,0.365,0.771,1
Coimbatore,Sulur,Semi-Urban,8.6015,77.6041,Assault,3,Saturday,Afternoon,1957,7.35,93.73,0.216,8,15,1.24,0,46-60,0.955,4.12,0.937,86.6,0.663,0.348,0
Thanjavur,Thiruvidaimarudur,Rural,8.5996,79.7384,Domestic Violence,4,Tuesday,Night,442,7.33,76.64,0.551,2,13,6.44,1,36-45,0.934,0.76,0.766,63.38,0.855,0.713,0
Tirunelveli,Nanguneri,Rural,12.7997,77.3201,Burglary,11,Sunday,Night,790,13.45,71.72,0.119,6,3,4.19,1,36-45,0.906,2.44,0.717,69.02,0.611,0.414,1
Ramanathapuram,Paramakudi,Rural,8.9594,76.027,Traffic Violation,3,Monday,Night,721,9.51,84.76,0.576,6,11,2.46,0,46-60,1.0,4.0,0.848,43.97,0.368,0.623,0
Thoothukudi,Kovilpatti,Rural,10.5874,78.3081,Assault,7,Wednesday,Morning,366,14.91,82.41,0.691,3,12,4.13,0,60+,1.061,3.28,0.824,31.35,0.568,0.606,1
Sivaganga,Manamadurai,Urban,9.4429,76.6826,Domestic Violence,1,Friday,Evening,623,7.85,76.0,0.148,8,2,3.66,0,60+,0.988,4.82,0.76,62.75,0.547,0.699,0
Virudhunagar,Kariapatti,Rural,10.9816,76.9997,Burglary,11,Sunday,Night,497,5.48,79.08,0.316,7,5,2.33,1,36-45,1.038,3.53,0.791,62.26,0.438,0.704,1
Salem,Vazhapadi,Rural,12.7029,79.7821,Fraud,5,Monday,Night,235,14.71,66.45,0.378,7,5,2.26,0,60+,1.003,4.66,0.665,38.37,0.287,0.853,1
Tiruvannamalai,Polur,Rural,12.4477,78.8738,Assault,5,Sunday,Morning,369,9.9,80.52,0.425,6,5,0.7,0,18-25,1.016,1.43,0.805,68.89,0.594,0.728,1
Krishnagiri,Denkanikottai,Urban,11.2473,76.1315,Drug Offense,3,Thursday,Afternoon,261,5.16,71.02,0.642,2,3,7.29,0,26-35,0.969,0.83,0.71,44.83,0.806,0.448,1
Tiruvannamalai,Polur,Semi-Urban,10.6815,76.2117,Theft,4,Friday,Night,469,14.84,84.02,0.498,3,2,3.9,1,60+,0.967,2.83,0.84,49.61,0.23,0.356,0
Coimbatore,Coimbatore North,Urban,9.1641,79.3073,Vandalism,5,Thursday,Night,1328,4.23,85.42,0.408,24,36,4.54,0,60+,1.089,3.44,0.854,70.07,0.784,0.752,0
Salem,Salem,Semi-Urban,11.6856,76.7853,Fraud,7,Saturday,Morning,249,10.59,77.87,0.421,8,6,3.61,0,18-25,1.039,2.65,0.779,42.11,0.492,0.522,0
Karur,Kadavur,Rural,12.8005,80.2017,Burglary,11,Tuesday,Night,448,14.18,74.3,0.788,7,14,3.85,1,36-45,1.008,4.86,0.743,46.01,0.49,0.899,1
Dindigul,Nilakottai,Semi-Urban,13.3446,76.9876,Property Crime,8,Tuesday,Afternoon,672,13.4,83.37,0.352,3,4,4.34,0,60+,1.09,4.23,0.834,56.88,0.849,0.42,0
Cuddalore,Vridhachalam,Rural,8.2613,80.2737,Domestic Violence,4,Friday,Afternoon,768,13.61,72.03,0.46,6,9,4.75,1,60+,0.902,2.11,0.72,55.59,0.784,0.667,0
Dharmapuri,Harur,Rural,9.2275,78.6893,Drug Offense,8,Monday,Morning,315,5.6,67.16,0.221,7,10,3.06,0,26-35,0.914,1.8,0.672,42.18,0.313,0.516,0
Ramanathapuram,Paramakudi,Rural,12.2785,78.8737,Theft,7,Tuesday,Afternoon,285,12.88,79.29,0.339,2,13,4.97,0,18-25,1.08,2.32,0.793,69.63,0.417,0.795,0
Kanchipuram,Chengalpattu,Rural,10.5376,77.3025,Property Crime,10,Monday,Afternoon,568,14.35,74.54,0.614,6,9,4.07,1,26-35,0.972,2.23,0.745,64.83,0.439,0.332,0
Villupuram,Gingee,Rural,11.1228,76.5166,Theft,12,Wednesday,Afternoon,341,8.04,84.86,0.704,4,6,1.63,1,36-45,1.066,2.19,0.849,31.24,0.201,0.435,1
Dharmapuri,Dharmapuri,Rural,11.9218,77.5448,Fraud,12,Friday,Afternoon,677,7.83,74.06,0.494,6,3,5.94,1,26-35,0.933,4.12,0.741,30.93,0.317,0.784,0
Madurai,Thirumangalam,Urban,8.7227,79.8359,Traffic Violation,8,Monday,Afternoon,1158,6.76,93.0,0.676,24,36,5.35,0,60+,0.933,4.91,0.93,76.07,0.787,0.389,0
Thoothukudi,Ottapidaram,Rural,8.0548,79.4224,Assault,11,Tuesday,Afternoon,523,6.28,71.84,0.459,7,13,3.06,1,60+,1.075,4.19,0.718,56.51,0.717,0.898,1
Madurai,Madurai North,Urban,8.6052,76.1167,Assault,1,Thursday,Evening,1220,6.68,88.6,0.65,11,30,5.96,0,36-45,1.074,3.86,0.886,86.95,0.598,0.367,0
Coimbatore,Pollachi,Urban,11.6469,76.8453,Property Crime,1,Monday,Evening,1680,7.89,89.25,0.117,21,29,1.61,0,46-60,0.982,2.8,0.892,78.91,0.305,0.469,0
Erode,Modakurichi,Rural,13.0814,79.4435,Domestic Violence,8,Monday,Night,394,8.07,74.33,0.388,2,3,6.84,0,46-60,1.004,3.72,0.743,47.79,0.673,0.649,1
Thoothukudi,Thoothukudi,Semi-Urban,8.0168,80.1618,Fraud,7,Sunday,Afternoon,307,10.49,77.94,0.71,4,2,7.92,0,18-25,0.951,1.5,0.779,45.87,0.572,0.902,1
Sivaganga,Sivaganga,Urban,9.4612,77.4328,Fraud,3,Saturday,Night,236,12.55,70.49,0.283,5,4,3.57,0,18-25,0.975,0.57,0.705,51.7,0.527,0.569,0
Coimbatore,Mettupalayam,Urban,9.8624,80.1968,Traffic Violation,6,Saturday,Afternoon,1230,3.51,94.09,0.22,8,29,3.21,0,60+,1.03,1.86,0.941,85.77,0.682,0.673,1
Madurai,Melur,Urban,10.289,77.0775,Drug Offense,7,Thursday,Morning,987,7.95,85.8,0.435,25,39,5.78,0,36-45,0.979,1.9,0.858,89.14,0.237,0.682,0
Salem,Vazhapadi,Rural,12.7985,76.507,Domestic Violence,2,Friday,Evening,468,13.24,75.84,0.13,6,2,3.65,0,26-35,1.015,0.83,0.758,61.1,0.652,0.79,0
Ramanathapuram,Mudukulathur,Urban,10.4762,77.0461,Theft,11,Monday,Afternoon,348,12.77,66.25,0.697,7,14,5.45,1,60+,1.012,1.42,0.663,49.05,0.416,0.778,1
Ramanathapuram,Kadaladi,Semi-Urban,8.7205,78.4907,Burglary,7,Thursday,Evening,250,5.33,68.43,0.569,4,6,3.74,0,26-35,0.96,3.51,0.684,48.36,0.227,0.33,1
Cuddalore,Vridhachalam,Rural,8.4732,77.8712,Theft,4,Thursday,Morning,795,10.7,82.42,0.291,5,7,7.22,1,46-60,1.036,1.87,0.824,54.51,0.659,0.779,1
Thoothukudi,Kovilpatti,Rural,11.231,76.0092,Burglary,10,Friday,Evening,736,8.76,84.29,0.2,4,9,7.14,1,18-25,1.042,2.37,0.843,55.73,0.427,0.585,0
Salem,Vazhapadi,Rural,11.6052,79.4188,Burglary,8,Friday,Afternoon,278,11.64,77.27,0.292,6,2,2.37,0,18-25,1.059,1.52,0.773,65.31,0.761,0.925,1
Dharmapuri,Dharmapuri,Urban,10.1328,76.9923,Fraud,8,Monday,Afternoon,499,7.07,76.48,0.525,3,13,6.27,0,26-35,1.06,2.0,0.765,42.07,0.363,0.768,0
Salem,Salem,Rural,12.1363,77.4136,Drug Offense,10,Friday,Night,291,13.95,79.91,0.357,6,12,3.11,1,60+,0.925,4.39,0.799,61.21,0.638,0.524,0
Coimbatore,Sulur,Urban,9.6115,77.4208,Burglary,5,Wednesday,Night,1242,7.48,88.22,0.133,20,20,2.8,0,60+,0.997,3.48,0.882,75.91,0.786,0.41,0
Thanjavur,Pattukottai,Urban,12.1646,77.5512,Property Crime,4,Thursday,Morning,659,13.9,84.6,0.666,4,4,1.73,1,26-35,1.046,4.53,0.846,34.47,0.342,0.548,0
Cuddalore,Chidambaram,Rural,12.1561,76.8835,Theft,5,Sunday,Night,319,8.11,79.54,0.615,5,15,3.23,0,26-35,1.091,3.39,0.795,38.12,0.872,0.307,1
Salem,Salem,Rural,8.0539,79.3084,Traffic Violation,6,Monday,Evening,574,13.64,82.34,0.376,2,4,3.41,0,36-45,1.095,4.99,0.823,68.92,0.232,0.828,0
Karur,Kulithalai,Rural,9.7373,80.2822,Domestic Violence,2,Thursday,Evening,480,5.13,76.58,0.736,5,12,4.31,0,60+,1.002,4.02,0.766,31.56,0.285,0.618,1
Sivaganga,Manamadurai,Rural,13.486,76.2495,Domestic Violence,8,Sunday,Evening,267,9.43,73.73,0.7,5,13,7.84,0,18-25,1.067,2.34,0.737,64.62,0.846,0.654,1
Krishnagiri,Denkanikottai,Rural,11.2167,77.1773,Burglary,7,Saturday,Morning,700,7.65,67.22,0.645,6,5,5.19,0,18-25,0.935,1.36,0.672,40.27,0.463,0.665,0
Thoothukudi,Kovilpatti,Rural,10.7853,76.0846,Domestic Violence,2,Thursday,Night,770,6.01,65.98,0.14,5,6,1.05,0,26-35,0.974,2.82,0.66,40.0,0.896,0.627,1
Salem,Sankagiri,Urban,9.1505,77.8085,Burglary,8,Tuesday,Evening,698,14.39,65.73,0.255,7,11,6.62,0,60+,1.099,4.92,0.657,37.35,0.219,0.859,0
Thanjavur,Thiruvidaimarudur,Semi-Urban,9.951,78.9188,Theft,12,Sunday,Evening,646,5.07,74.91,0.52,6,4,2.82,1,46-60,0.901,4.4,0.749,30.3,0.611,0.763,1
Karur,Kulithalai,Semi-Urban,8.4902,78.2339,Assault,2,Saturday,Night,702,10.82,71.64,0.185,6,6,0.72,0,36-45,1.094,3.02,0.716,63.07,0.683,0.36,1
Namakkal,Kolli Hills,Semi-Urban,9.389,79.6315,Property Crime,2,Tuesday,Morning,231,5.16,68.41,0.153,6,7,1.6,0,36-45,1.034,3.1,0.684,60.19,0.725,0.617,1
Namakkal,Kolli Hills,Urban,10.7429,77.2281,Traffic Violation,8,Tuesday,Evening,387,14.36,75.64,0.459,4,14,3.97,0,46-60,0.904,3.29,0.756,64.02,0.784,0.533,1
Tiruchirappalli,Srirangam,Rural,13.1358,76.7305,Drug Offense,11,Thursday,Night,494,5.9,73.41,0.681,6,15,7.97,1,36-45,0.933,0.9,0.734,58.01,0.838,0.568,1
Dharmapuri,Nallampalli,Semi-Urban,10.2366,78.3699,Burglary,12,Sunday,Night,534,9.77,71.11,0.299,4,12,2.71,1,18-25,1.1,4.65,0.711,52.94,0.673,0.934,1
Virudhunagar,Rajapalayam,Urban,10.0719,78.8354,Cybercrime,1,Friday,Evening,594,7.22,77.24,0.278,3,15,5.47,0,36-45,1.023,1.08,0.772,69.99,0.3,0.897,0
Erode,Erode,Rural,13.239,78.4674,Vandalism,12,Thursday,Night,713,7.81,80.88,0.263,5,12,6.79,1,36-45,0.903,2.59,0.809,65.97,0.221,0.64,1
Tiruchirappalli,Srirangam,Rural,9.3901,76.4122,Cybercrime,3,Monday,Afternoon,580,6.97,83.68,0.306,4,9,3.96,0,18-25,1.056,4.27,0.837,42.94,0.334,0.444,0
Krishnagiri,Pochampalli,Semi-Urban,9.5033,76.4734,Cybercrime,11,Sunday,Night,575,13.88,66.54,0.734,5,4,5.82,1,26-35,0.948,0.86,0.665,52.43,0.495,0.715,0
Thanjavur,Thiruvidaimarudur,Rural,10.6502,80.4001,Vandalism,9,Friday,Night,739,14.18,65.72,0.125,7,12,2.58,0,36-45,0.99,3.27,0.657,39.17,0.592,0.843,1
Coimbatore,Coimbatore South,Urban,12.2994,76.897,Fraud,10,Sunday,Morning,868,4.82,91.86,0.54,21,32,4.35,1,18-25,0.913,2.12,0.919,71.03,0.308,0.601,1
