district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,weather,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Madurai,Thirumangalam,Urban,12.6637,80.3508,Traffic Violation,8,Wednesday,Morning,1351,6.52,92.77,0.499,21,31,0.87,Sunny,0,18-25,1.007,3.21,0.928,77.34,0.797,0.399,1
Dindigul,Nilakottai,Semi-Urban,11.1617,77.2601,Traffic Violation,7,Tuesday,Afternoon,626,6.41,65.48,0.373,4,9,3.42,Rainy,0,26-35,0.919,3.11,0.655,45.75,0.249,0.694,1
Ramanathapuram,Kadaladi,Rural,13.1516,79.7482,Fraud,11,Monday,Afternoon,568,6.0,67.14,0.556,7,3,3.65,Cloudy,1,26-35,0.934,3.08,0.671,52.98,0.289,0.569,1
Thanjavur,Papanasam,Rural,8.9081,77.3809,Drug Offense,10,Friday,Morning,706,7.94,82.35,0.675,2,11,7.7,Hot,1,18-25,0.911,4.28,0.823,63.01,0.214,0.778,0
Thoothukudi,Thoothukudi,Rural,9.9449,79.1161,Fraud,9,Friday,Night,313,13.2,80.36,0.562,5,10,1.81,Rainy,0,26-35,1.065,4.01,0.804,60.37,0.897,0.465,0
Kanchipuram,Chengalpattu,Rural,13.1625,76.0455,Assault,11,Tuesday,Night,723,6.99,78.83,0.5,8,12,5.75,Hot,1,18-25,1.052,2.35,0.788,32.37,0.705,0.671,1
Krishnagiri,Krishnagiri,Rural,12.1961,79.0518,Domestic Violence,2,Friday,Afternoon,699,7.6,78.15,0.674,4,5,6.62,Hot,0,36-45,0.972,1.15,0.781,59.95,0.633,0.603,0
Tiruchirappalli,Tiruchirappalli,Rural,12.0559,79.5977,Drug Offense,11,Wednesday,Morning,504,9.38,82.44,0.331,6,6,5.06,Sunny,1,60+,1.015,1.86,0.824,56.65,0.583,0.329,0
Namakkal,Rasipuram,Rural,10.0849,78.9521,Theft,8,Sunday,Morning,343,7.19,75.02,0.258,4,4,5.39,Cloudy,0,46-60,0.996,4.01,0.75,67.23,0.266,0.342,0
Chennai,Sholinganallur,Semi-Urban,12.2624,79.7756,Assault,9,Wednesday,Evening,1738,3.94,85.05,0.614,15,30,2.02,Cloudy,0,46-60,0.959,1.2,0.85,79.4,0.85,0.481,1
Cuddalore,Vridhachalam,Semi-Urban,12.8289,78.7207,Traffic Violation,12,Tuesday,Morning,375,12.46,74.08,0.579,6,11,2.01,Cloudy,1,26-35,1.056,4.6,0.741,37.32,0.824,0.537,1
Dharmapuri,Palacode,Semi-Urban,9.3694,79.333,Theft,6,Saturday,Night,633,10.46,65.58,0.726,5,14,0.71,Sunny,0,36-45,1.031,3.03,0.656,54.16,0.304,0.674,1
Cuddalore,Cuddalore,Rural,8.3287,76.2648,Fraud,2,Monday,Evening,269,7.45,73.08,0.648,8,11,3.23,Hot,0,36-45,0.957,2.83,0.731,37.04,0.202,0.781,1
Karur,Krishnarayapuram,Urban,10.6235,79.7624,Fraud,3,Friday,Evening,787,7.43,77.97,0.729,4,8,1.83,Rainy,0,46-60,0.95,1.23,0.78,65.12,0.803,0.603,0
Salem,Mettur,Rural,11.8423,76.9187,Property Crime,4,Saturday,Night,341,11.66,75.27,0.388,6,9,7.61,Cloudy,1,46-60,0.917,1.12,0.753,44.76,0.803,0.499,0
Dharmapuri,Karimangalam,Semi-Urban,12.5559,76.0653,Property Crime,12,Friday,Morning,569,5.56,73.06,0.359,8,2,6.96,Cloudy,1,36-45,1.065,4.88,0.731,43.81,0.312,0.469,0
Virudhunagar,Aruppukkottai,Semi-Urban,13.2526,79.9013,Cybercrime,9,Wednesday,Night,642,7.49,84.52,0.382,3,13,6.13,Hot,0,60+,0.963,2.17,0.845,55.7,0.865,0.306,1
Tirunelveli,Palayamkottai,Rural,10.0242,80.3157,Assault,10,Monday,Evening,756,5.76,75.68,0.159,7,11,2.57,Hot,1,46-60,0.979,0.87,0.757,40.76,0.414,0.765,0
Sivaganga,Ilayangudi,Semi-Urban,13.4176,80.2192,Drug Offense,12,Sunday,Afternoon,724,7.5,72.35,0.705,6,6,1.23,Hot,1,26-35,0.987,3.21,0.724,57.74,0.827,0.755,0
Dharmapuri,Harur,Rural,11.206,76.1676,Traffic Violation,10,Wednesday,Morning,281,5.74,70.3,0.474,6,15,3.19,Rainy,1,36-45,1.046,0.83,0.703,43.23,0.607,0.719,1
Dindigul,Palani,Rural,9.1051,77.7342,Burglary,9,Monday,Afternoon,494,14.49,83.34,0.324,5,9,7.32,Hot,0,36-45,1.042,3.64,0.833,47.87,0.45,0.528,1
Villupuram,Gingee,Semi-Urban,12.1669,76.1203,Theft,11,Sunday,Night,485,11.8,81.32,0.662,2,12,5.53,Cloudy,1,26-35,1.0,1.11,0.813,57.61,0.82,0.86,1
Namakkal,Kumarapalayam,Urban,12.2797,76.7543,Burglary,10,Tuesday,Evening,525,13.35,72.78,0.176,6,3,3.69,Hot,1,26-35,0.974,2.26,0.728,30.6,0.509,0.827,0
Villupuram,Kallakurichi,Rural,9.3002,80.1844,Theft,7,Sunday,Night,679,15.0,82.73,0.176,2,8,1.13,Rainy,0,60+,0.941,0.88,0.827,41.89,0.497,0.798,1
Thoothukudi,Thoothukudi,Semi-Urban,11.1599,77.0145,Theft,5,Monday,Afternoon,688,13.47,66.46,0.463,5,15,0.75,Cloudy,0,46-60,0.995,1.82,0.665,48.16,0.202,0.622,1
Salem,Salem,Rural,12.7962,79.9713,Traffic Violation,1,Thursday,Morning,353,14.07,71.74,0.262,6,15,4.99,Cloudy,0,60+,0.98,2.3,0.717,62.29,0.425,0.372,0
Sivaganga,Manamadurai,Urban,9.3252,77.6456,Property Crime,5,Sunday,Morning,674,5.29,81.29,0.11,5,9,7.47,Rainy,0,18-25,0.902,4.89,0.813,44.07,0.37,0.484,1
Villupuram,Kallakurichi,Semi-Urban,8.8384,79.9841,Fraud,9,Tuesday,Morning,790,10.51,71.87,0.351,7,7,6.24,Sunny,0,36-45,0.948,4.07,0.719,41.18,0.748,0.666,0
Sivaganga,Devakottai,Semi-Urban,8.2766,77.1519,Assault,11,Monday,Evening,696,6.83,68.25,0.2,7,10,2.52,Rainy,1,60+,0.974,4.92,0.683,52.12,0.53,0.701,1
Tiruchirappalli,Lalgudi,Semi-Urban,12.9742,80.2132,Theft,10,Sunday,Night,512,10.25,66.79,0.676,7,14,2.09,Cloudy,1,26-35,1.01,2.51,0.668,49.96,0.818,0.539,1
Ramanathapuram,Ramanathapuram,Rural,12.7294,80.0437,Burglary,4,Wednesday,Night,483,12.63,82.65,0.777,4,11,4.42,Hot,1,26-35,0.919,4.23,0.826,33.95,0.313,0.536,1
Dharmapuri,Nallampalli,Rural,11.5183,78.0853,Domestic Violence,7,Monday,Afternoon,769,7.75,78.13,0.509,6,14,7.73,Hot,0,36-45,0.945,3.41,0.781,51.37,0.247,0.859,1
Cuddalore,Chidambaram,Semi-Urban,8.2638,80.4983,Assault,9,Tuesday,Afternoon,461,11.07,81.51,0.226,3,5,4.05,Sunny,0,60+,0.973,3.09,0.815,64.68,0.882,0.332,0
Namakkal,Rasipuram,Rural,8.3337,76.7268,Traffic Violation,9,Monday,Morning,527,14.36,79.08,0.381,8,11,4.52,Hot,0,46-60,0.958,1.07,0.791,63.08,0.317,0.815,0
Villupuram,Tindivanam,Rural,9.5587,79.1074,Vandalism,3,Monday,Afternoon,798,11.51,77.83,0.356,3,12,2.21,Hot,0,60+,1.028,2.47,0.778,55.45,0.47,0.828,0
Tirunelveli,Nanguneri,Semi-Urban,8.9122,77.0125,Domestic Violence,5,Saturday,Morning,699,6.94,82.99,0.49,3,6,3.97,Rainy,0,60+,0.976,3.49,0.83,59.3,0.366,0.564,1
Tiruchirappalli,Lalgudi,Semi-Urban,8.7448,79.3848,Burglary,6,Saturday,Evening,271,13.73,73.09,0.15,5,7,5.97,Hot,0,18-25,0.941,3.22,0.731,69.21,0.508,0.755,1
Tiruchirappalli,Thuraiyur,Rural,9.0484,77.798,Traffic Violation,5,Friday,Afternoon,520,10.61,79.89,0.486,4,6,6.16,Rainy,0,18-25,1.0,1.32,0.799,33.37,0.444,0.446,0
Coimbatore,Coimbatore North,Urban,8.8744,78.3257,Assault,3,Sunday,Evening,1720,4.06,90.82,0.235,22,20,2.09,Sunny,0,36-45,0.995,3.69,0.908,70.21,0.468,0.717,0
Krishnagiri,Krishnagiri,Rural,11.5791,77.1048,Burglary,12,Friday,Night,542,5.92,81.39,0.19,6,11,0.69,Cloudy,1,46-60,0.971,0.69,0.814,61.84,0.851,0.323,0
Madurai,Usilampatti,Urban,12.9558,76.0702,Property Crime,5,Friday,Afternoon,1202,4.32,89.65,0.632,13,17,4.88,Cloudy,0,60+,0.982,4.93,0.897,70.06,0.643,0.84,1
Tiruchirappalli,Tiruchirappalli,Rural,8.4793,76.571,Theft,5,Sunday,Night,769,5.44,77.84,0.687,4,8,1.66,Sunny,0,60+,1.001,4.33,0.778,69.7,0.658,0.529,1
Thoothukudi,Vilathikulam,Rural,8.0734,77.5939,Domestic Violence,1,Sunday,Afternoon,769,10.13,78.9,0.504,7,2,1.39,Cloudy,0,36-45,0.955,1.99,0.789,36.3,0.698,0.714,1
Dindigul,Nilakottai,Urban,8.6207,76.3847,Vandalism,8,Friday,Morning,368,7.11,68.68,0.682,2,11,6.99,Hot,0,26-35,1.035,2.2,0.687,53.31,0.286,0.769,0
Vellore,Pernambut,Rural,10.6379,79.061,Theft,11,Sunday,Evening,588,13.8,72.52,0.224,7,13,6.91,Hot,1,26-35,0.965,3.29,0.725,54.15,0.316,0.641,1
Villupuram,Villupuram,Semi-Urban,12.3603,76.0281,Burglary,1,Saturday,Night,783,13.0,70.18,0.105,8,11,7.4,Rainy,0,26-35,1.084,0.61,0.702,41.22,0.758,0.444,1
Virudhunagar,Sattur,Rural,11.0397,76.7192,Traffic Violation,3,Friday,Morning,642,9.88,69.42,0.542,5,7,7.12,Rainy,0,46-60,0.913,2.11,0.694,66.56,0.853,0.602,0
Krishnagiri,Pochampalli,Rural,8.9036,78.8139,Theft,11,Thursday,Evening,306,14.29,81.68,0.722,6,8,7.77,Hot,1,26-35,0.94,4.27,0.817,64.34,0.641,0.536,1
Tiruchirappalli,Tiruchirappalli,Urban,12.8479,79.2811,Property Crime,11,Thursday,Night,431,11.15,78.72,0.534,6,7,3.52,Hot,1,26-35,1.022,3.01,0.787,37.9,0.639,0.567,0
Dindigul,Nilakottai,Semi-Urban,10.0511,78.15,Property Crime,12,Tuesday,Evening,784,5.24,73.65,0.735,3,13,2.37,Cloudy,1,36-45,1.074,1.95,0.736,56.63,0.699,0.483,1
Erode,Bhavani,Rural,9.6236,79.2194,Vandalism,9,Friday,Night,365,14.89,75.48,0.697,8,13,2.18,Hot,0,46-60,0.945,2.51,0.755,32.93,0.841,0.909,0
Namakkal,Tiruchengode,Rural,12.1766,79.7093,Drug Offense,8,Friday,Night,399,7.24,66.45,0.558,5,2,5.64,Rainy,0,18-25,1.016,4.71,0.665,61.24,0.412,0.533,1
Namakkal,Kolli Hills,Semi-Urban,10.2594,77.8382,Traffic Violation,8,Friday,Evening,480,7.53,75.21,0.454,5,2,0.97,Sunny,0,26-35,1.029,4.69,0.752,65.76,0.484,0.849,0
Tiruchirappalli,Lalgudi,Semi-Urban,10.8311,76.3455,Assault,10,Tuesday,Evening,571,12.57,82.84,0.532,5,14,2.56,Cloudy,1,46-60,0.938,4.38,0.828,39.51,0.619,0.932,1
Tiruvannamalai,Tiruvannamalai,Semi-Urban,9.572,80.3499,Burglary,6,Tuesday,Afternoon,733,12.73,71.03,0.246,8,3,5.45,Rainy,0,46-60,0.966,2.62,0.71,36.76,0.323,0.652,0
Kanchipuram,Chengalpattu,Rural,8.0624,78.0818,Cybercrime,1,Monday,Night,471,6.41,70.56,0.462,7,13,4.78,Hot,0,60+,0.981,1.42,0.706,68.33,0.745,0.683,0
Namakkal,Namakkal,Rural,12.9509,76.1476,Assault,9,Friday,Evening,552,11.02,73.72,0.186,2,6,3.07,Cloudy,0,26-35,0.917,3.7,0.737,52.08,0.63,0.634,1
Erode,Bhavani,Urban,9.6229,77.5985,Vandalism,5,Monday,Night,439,9.55,68.86,0.781,7,2,1.39,Sunny,0,36-45,1.022,2.58,0.689,57.38,0.232,0.73,1
Karur,Krishnarayapuram,Rural,12.8646,79.6038,Drug Offense,10,Sunday,Evening,440,10.98,79.67,0.682,3,10,7.4,Hot,1,18-25,0.983,2.56,0.797,48.76,0.878,0.59,1
Thoothukudi,Ottapidaram,Rural,9.4173,79.6593,Domestic Violence,8,Tuesday,Morning,485,14.92,71.88,0.708,4,3,2.41,Sunny,0,26-35,1.033,2.38,0.719,53.19,0.2,0.517,1
Chennai,Ambattur,Semi-Urban,10.4137,77.1186,Vandalism,6,Friday,Afternoon,1178,3.23,90.9,0.332,20,18,3.06,Hot,0,26-35,0.932,1.32,0.909,79.92,0.632,0.472,0
Dindigul,Kodaikanal,Semi-Urban,9.3299,79.8267,Cybercrime,8,Saturday,Evening,613,5.57,78.84,0.214,2,2,2.05,Hot,0,18-25,0.907,1.99,0.788,36.15,0.239,0.415,0
Vellore,Gudiyatham,Rural,10.1487,78.4857,Assault,1,Sunday,Morning,358,9.88,71.79,0.419,4,11,3.9,Hot,0,36-45,0.939,2.64,0.718,56.48,0.21,0.792,1
Karur,Kulithalai,Urban,12.5425,76.3763,Traffic Violation,7,Tuesday,Morning,495,11.91,77.52,0.584,7,7,6.41,Hot,0,18-25,1.037,2.87,0.775,60.98,0.439,0.632,1
Virudhunagar,Virudhunagar,Semi-Urban,9.4499,80.2859,Traffic Violation,5,Friday,Night,768,7.05,83.0,0.225,6,7,6.2,Rainy,0,36-45,0.911,4.59,0.83,58.56,0.528,0.759,0
Sivaganga,Devakottai,Rural,11.92,78.4673,Vandalism,5,Saturday,Morning,670,6.41,72.87,0.671,4,2,5.56,Cloudy,0,46-60,1.016,2.66,0.729,36.59,0.707,0.695,1
Madurai,Usilampatti,Urban,8.7295,79.2557,Vandalism,6,Wednesday,Evening,1318,7.15,91.1,0.184,14,19,2.26,Sunny,0,18-25,0.946,2.61,0.911,70.93,0.495,0.55,0
Erode,Modakurichi,Rural,9.7967,76.7681,Traffic Violation,10,Thursday,Afternoon,531,10.95,68.3,0.339,3,13,5.98,Hot,1,46-60,1.045,4.92,0.683,42.04,0.551,0.759,0
Salem,Mettur,Semi-Urban,9.9748,77.8942,Cybercrime,9,Wednesday,Night,624,5.85,83.14,0.51,2,5,5.39,Hot,0,26-35,1.06,4.4,0.831,55.28,0.812,0.625,0
Chennai,Chennai South,Urban,10.9642,78.5653,Traffic Violation,11,Wednesday,Afternoon,1505,3.91,91.55,0.691,22,25,2.25,Cloudy,1,26-35,1.051,4.53,0.916,87.0,0.293,0.653,1
Vellore,Arcot,Rural,11.5471,77.6072,Assault,12,Tuesday,Morning,699,5.4,76.08,0.749,5,9,7.6,Rainy,1,36-45,1.061,1.7,0.761,69.0,0.46,0.652,1
Chennai,Ambattur,Urban,10.5341,77.9489,Traffic Violation,11,Tuesday,Evening,1355,3.89,94.31,0.499,17,33,1.93,Hot,1,18-25,1.083,0.8,0.943,81.8,0.624,0.76,1
Kanchipuram,Uthiramerur,Rural,9.1312,79.5723,Assault,2,Friday,Evening,435,9.56,75.75,0.338,7,9,7.36,Hot,0,26-35,1.001,1.9,0.757,46.63,0.844,0.905,0
Chennai,Ambattur,Semi-Urban,12.8619,78.6573,Cybercrime,10,Wednesday,Afternoon,1869,5.63,85.45,0.642,17,40,7.67,Cloudy,1,46-60,1.054,4.05,0.855,79.09,0.476,0.422,1
Tiruchirappalli,Thuraiyur,Rural,9.7776,77.2975,Theft,9,Sunday,Evening,609,9.34,81.26,0.162,6,10,7.01,Rainy,0,26-35,1.038,2.14,0.813,69.48,0.397,0.458,0
Villupuram,Gingee,Rural,10.4122,79.1942,Theft,5,Saturday,Night,443,10.59,65.76,0.212,8,14,5.53,Sunny,0,46-60,0.937,1.11,0.658,55.62,0.875,0.868,0
Namakkal,Kumarapalayam,Semi-Urban,11.4792,77.7034,Burglary,3,Thursday,Evening,292,8.66,67.22,0.575,3,13,5.56,Rainy,0,60+,0.912,2.91,0.672,67.17,0.506,0.516,1
Tiruchirappalli,Tiruchirappalli,Rural,9.3015,78.2853,Assault,6,Wednesday,Afternoon,654,11.05,80.43,0.263,4,6,1.0,Sunny,0,26-35,1.039,0.56,0.804,39.52,0.596,0.734,1
Dharmapuri,Harur,Semi-Urban,9.4649,80.4167,Traffic Violation,6,Tuesday,Morning,292,9.5,77.98,0.499,3,5,5.19,Sunny,0,36-45,1.046,4.93,0.78,39.13,0.597,0.848,0
Krishnagiri,Bargur,Rural,12.0924,77.3992,Burglary,2,Thursday,Night,312,12.64,83.91,0.565,5,10,3.34,Hot,0,60+,0.953,4.94,0.839,34.68,0.616,0.483,0
Virudhunagar,Rajapalayam,Rural,12.8094,79.0958,Fraud,2,Sunday,Afternoon,569,5.3,72.91,0.731,7,2,7.56,Cloudy,0,60+,0.915,0.6,0.729,38.35,0.21,0.679,1
Tirunelveli,Radhapuram,Rural,11.0231,80.21,Burglary,9,Thursday,Night,422,7.11,67.13,0.278,8,11,5.35,Sunny,0,36-45,1.018,3.02,0.671,42.91,0.896,0.584,0
Virudhunagar,Virudhunagar,Rural,9.1645,78.4144,Fraud,7,Tuesday,Evening,417,5.71,83.82,0.178,2,15,7.3,Cloudy,0,36-45,1.001,4.2,0.838,41.89,0.213,0.878,1
Vellore,Arcot,Rural,10.8782,77.4849,Burglary,5,Sunday,Night,255,7.75,71.42,0.776,3,4,6.79,Sunny,0,36-45,1.001,0.51,0.714,61.37,0.887,0.415,1
Krishnagiri,Krishnagiri,Rural,10.4473,78.2627,Burglary,7,Friday,Night,389,12.58,79.23,0.41,2,5,4.69,Cloudy,0,60+,0.987,2.19,0.792,31.77,0.821,0.73,0
Ramanathapuram,Mudukulathur,Rural,11.7246,76.1147,Domestic Violence,8,Monday,Night,655,12.65,71.03,0.391,8,8,1.83,Cloudy,0,60+,0.963,2.81,0.71,57.64,0.51,0.527,0
Dharmapuri,Nallampalli,Urban,9.4393,76.9302,Property Crime,4,Tuesday,Evening,245,6.23,70.18,0.232,3,6,0.85,Rainy,1,60+,1.086,3.19,0.702,44.26,0.646,0.828,0
Salem,Salem,Urban,10.6411,78.6452,Traffic Violation,5,Wednesday,Evening,763,13.46,82.47,0.57,4,10,7.69,Rainy,0,26-35,0.968,2.01,0.825,44.71,0.605,0.48,1
Dharmapuri,Harur,Rural,10.3429,76.8633,Assault,8,Sunday,Evening,726,11.89,76.56,0.527,5,11,5.3,Sunny,0,46-60,1.0,1.72,0.766,30.54,0.396,0.585,0
Coimbatore,Sulur,Urban,9.0354,78.4897,Burglary,4,Friday,Night,838,4.02,87.36,0.54,19,30,5.79,Hot,1,18-25,1.098,0.81,0.874,77.63,0.274,0.608,1
Thoothukudi,Kovilpatti,Semi-Urban,10.3432,76.0577,Vandalism,6,Thursday,Afternoon,384,10.48,82.99,0.567,7,6,2.8,Cloudy,0,18-25,0.947,4.99,0.83,62.36,0.344,0.337,1
Madurai,Madurai South,Urban,8.5673,78.0334,Fraud,2,Sunday,Afternoon,1538,6.02,91.62,0.341,24,35,0.99,Sunny,0,36-45,1.08,2.94,0.916,72.92,0.352,0.45,0
Coimbatore,Mettupalayam,Urban,9.8637,76.2725,Fraud,10,Monday,Morning,1880,3.64,94.31,0.773,21,17,1.65,Cloudy,1,36-45,0.903,4.38,0.943,88.67,0.425,0.637,0
